chore_name,hours,priority
sun_AM_clean,0.50,2
sun_cook_1,2.00,2
sun_PM_clean_1,1.00,2
sun_PM_clean_2,1.00,2
mon_AM_clean,0.50,2
mon_cook_1,2.00,2
mon_PM_clean_1,1.00,2
mon_PM_clean_2,1.00,2
tue_AM_clean,0.50,2
tue_cook_1,2.00,2
tue_PM_clean_1,1.00,2
tue_PM_clean_2,1.00,2
wed_AM_clean,0.50,2
wed_cook_1,2.00,2
wed_PM_clean_1,1.00,2
wed_PM_clean_2,1.00,2
thu_AM_clean,0.50,2
thu_cook_1,2.00,2
thu_PM_clean_1,1.00,2
thu_PM_clean_2,1.00,2
fri_AM_clean,0.50,2
fri_cook_1,2.00,0
fri_PM_clean_1,1.00,0
fri_PM_clean_2,1.00,0
sat_AM_clean,0.50,2
sat_cook_1,2.00,0
sat_PM_clean_1,1.00,0
sat_PM_clean_2,1.00,0
membership,2.00,1
corporate_finance,2.00,1
finance_magician,2.00,1
food_mgr,2.00,1
chore_e_ographer,2.00,1
assistant_chore_e_ographer,1.00,1
maintenance_1,4.00,1
maintenance_2,2.00,1
rags_1,0.50,1
rags_2,0.50,1
appliance_clean,0.50,1
afternoon_dishwasher_run,0.50,1
outdoor_fridge,0.50,1
right_fridge,1.00,1
floor1_clean,0.50,1
floor2_clean,0.50,1
floor3_clean,0.50,1
floor3_deck_clean,0.50,0
studio_clean,1.00,0
mail_bringin_sort,0.50,1
snack_maker,1.00,1
deep_clean,1.00,1
organize_kitchen_shelves,1.00,0
drain/fill_hot_tub,1.00,0
vacuum_stairs_kitchen_and_main,0.50,1
ewaste_remover,1.00,0
free_pile_donator,1.00,0
duster_or_cobweb_sweeper,0.50,0
urban_ore_dump_run,1.00,0
window_cleaning,0.50,1
kitchen_mop,1.00,1
patio_clean,1.00,0
laundry_area_clean,1.00,0
kitchen_bathroom,1.00,1
downstairs_bathroom,1.00,1
upstairs_bathroom,1.00,1
tue_waste_mgr,0.50,2
wed_berkeley_bowl,2.00,2
sat_farmers_mkt,1.00,2
tue_farmers_mkt,1.00,1
