task,pref
sun_AM_clean,1
sun_cook_1,2
sun_PM_clean_1,2
sun_PM_clean_2,2
mon_AM_clean,2
mon_cook_1,0
mon_PM_clean_1,0
mon_PM_clean_2,0
tue_AM_clean,1
tue_cook_1,2
tue_PM_clean_1,2
tue_PM_clean_2,2
wed_AM_clean,2
wed_cook_1,2
wed_PM_clean_1,2
wed_PM_clean_2,2
thu_AM_clean,2
thu_cook_1,2
thu_PM_clean_1,2
thu_PM_clean_2,2
fri_AM_clean,2
fri_cook_1,0
fri_PM_clean_1,0
fri_PM_clean_2,0
sat_AM_clean,1
sat_cook_1,0
sat_PM_clean_1,0
sat_PM_clean_2,0
membership,0
corporate_finance,0
finance_magician,0
food_mgr,0
chore_e_ographer,0
assistant_chore_e_ographer,1
maintenance_1,0
maintenance_2,0
rags_1,2
rags_2,2
appliance_clean,1
afternoon_dishwasher_run,1
outdoor_fridge,1
right_fridge,1
floor1_clean,1
floor2_clean,1
floor3_clean,2
floor3_deck_clean,2
studio_clean,2
mail_bringin_sort,1
snack_maker,2
deep_clean,2
organize_kitchen_shelves,2
drain/fill_hot_tub,1
vacuum_stairs_kitchen_and_main,2
ewaste_remover,1
free_pile_donator,2
duster_or_cobweb_sweeper,0
urban_ore_dump_run,1
window_cleaning,2
kitchen_mop,2
patio_clean,2
laundry_area_clean,2
kitchen_bathroom,2
downstairs_bathroom,1
upstairs_bathroom,2
tue_waste_mgr,1
wed_berkeley_bowl,2
sat_farmers_mkt,0
tue_farmers_mkt,2
