task,"pref(0,1,2)"
sun_AM_clean,2
sun_cook_1,1
sun_PM_clean_1,1
sun_PM_clean_2,1
mon_AM_clean,2
tue_AM_clean,1
tue_cook_1,1
tue_PM_clean_1,1
tue_PM_clean_2,1
wed_AM_clean,2
wed_cook_1,1
wed_PM_clean_1,1
wed_PM_clean_2,1
thu_AM_clean,2
thu_cook_1,1
thu_PM_clean_1,1
thu_PM_clean_2,1
fri_AM_clean,2
sat_AM_clean,2
membership,0
corporate_finance,0
finance_magician,0
food_mgr,0
chore_e_ographer,0
assistant_chore_e_ographer,0
maintenance_1,0
maintenance_2,0
rags_1,0
mail_bringin_sort,0
vacuum_stairs_kitchen_and_main,0
upstairs_bathroom,0
tue_waste_mgr,1
wed_berkeley_bowl,1
sat_farmers_mkt,1
