task,"pref(0,1,2)"
sun_AM_clean,1
sun_cook_1,1
sun_PM_clean_1,1
sun_PM_clean_2,1
mon_AM_clean,1
mon_cook_1,1
mon_PM_clean_1,1
mon_PM_clean_2,1
tue_AM_clean,1
tue_cook_1,2
tue_PM_clean_1,1
tue_PM_clean_2,1
wed_AM_clean,1
wed_cook_1,1
wed_PM_clean_1,1
wed_PM_clean_2,1
thu_AM_clean,1
thu_cook_1,1
thu_PM_clean_1,1
thu_PM_clean_2,1
fri_AM_clean,1
sat_AM_clean,1
membership,1
corporate_finance,1
finance_magician,1
food_mgr,1
chore_e_ographer,1
maintenance_1,1
maintenance_2,1
rags_1,1
rags_2,1
appliance_clean,1
afternoon_dishwasher_run,1
outdoor_fridge,1
right_fridge,1
floor1_clean,1
floor2_clean,1
floor3_clean,1
floor3_deck_clean,1
studio_clean,1
mail_bringin_sort,1
snack_maker,1
deep_clean,1
organize_kitchen_shelves,1
drain/fill_hot_tub,1
vacuum_stairs_kitchen_and_main,1
ewaste_remover,1
free_pile_donator,1
duster_or_cobweb_sweeper,1
urban_ore_dump_run,1
window_cleaning,1
kitchen_mop,1
patio_clean,1
laundry_area_clean,1
kitchen_bathroom,0
downstairs_bathroom,0
upstairs_bathroom,0
dummy_chore,1
assistant_chore_e_ographer,1
tue_waste_mgr,1
wed_berkeley_bowl,1
sat_farmers_mkt,1
